"xcoord","ycoord","id","boro","tree.next7","tree.sandy"
924000,141000,7370,"SI",NA,NA
925000,124000,7449,"SI",NA,NA
925000,127000,7327,"SI",NA,NA
925000,128000,7328,"SI",1,NA
925000,129000,7329,"SI",0,1
925000,130000,7330,"SI",NA,NA
925000,131000,7355,"SI",1,NA
925000,132000,7356,"SI",NA,NA
925000,133000,7360,"SI",NA,NA
925000,134000,7351,"SI",NA,NA
925000,135000,7352,"SI",0,NA
925000,136000,7353,"SI",1,NA
925000,137000,7354,"SI",1,NA
925000,138000,7364,"SI",1,NA
925000,139000,7365,"SI",1,NA
925000,140000,7221,"SI",0,NA
925000,141000,7223,"SI",1,NA
925000,142000,7224,"SI",1,NA
925000,143000,7385,"SI",NA,NA
926000,126000,7326,"SI",NA,NA
926000,127000,7325,"SI",NA,NA
926000,128000,7322,"SI",1,NA
926000,129000,7321,"SI",NA,1
926000,130000,7323,"SI",1,NA
926000,131000,7324,"SI",1,NA
926000,132000,7350,"SI",1,NA
926000,134000,7346,"SI",1,NA
926000,135000,7347,"SI",1,NA
926000,136000,7348,"SI",1,1
926000,137000,7349,"SI",0,1
926000,138000,7217,"SI",1,1
926000,139000,7218,"SI",0,NA
926000,140000,7220,"SI",1,NA
926000,141000,7222,"SI",NA,NA
926000,142000,7225,"SI",NA,NA
927000,126000,7319,"SI",NA,NA
927000,127000,7317,"SI",1,NA
927000,128000,7320,"SI",1,1
927000,129000,7312,"SI",NA,NA
927000,130000,7313,"SI",NA,NA
927000,131000,7315,"SI",1,NA
927000,132000,7344,"SI",1,1
927000,133000,7345,"SI",1,NA
927000,134000,7341,"SI",NA,NA
927000,135000,7342,"SI",1,NA
927000,136000,7343,"SI",1,1
927000,137000,7214,"SI",1,NA
927000,138000,7216,"SI",0,NA
927000,139000,7219,"SI",NA,NA
927000,140000,7215,"SI",NA,NA
927000,144000,7227,"SI",NA,NA
928000,126000,7318,"SI",NA,NA
928000,127000,7316,"SI",0,NA
928000,128000,7310,"SI",1,NA
928000,129000,7311,"SI",NA,NA
928000,130000,7314,"SI",NA,NA
928000,131000,7306,"SI",1,NA
928000,132000,7337,"SI",1,NA
928000,133000,7338,"SI",NA,NA
928000,134000,7339,"SI",1,NA
928000,135000,7340,"SI",1,NA
928000,136000,7336,"SI",1,NA
928000,137000,7213,"SI",0,NA
928000,138000,7211,"SI",1,1
928000,139000,7212,"SI",NA,NA
928000,140000,7203,"SI",0,NA
928000,141000,7206,"SI",1,NA
928000,142000,7205,"SI",0,NA
928000,143000,7226,"SI",NA,NA
928000,149000,6784,"SI",NA,NA
928000,153000,6782,"SI",NA,NA
928000,161000,6660,"SI",NA,NA
929000,126000,7307,"SI",NA,NA
929000,127000,7308,"SI",NA,NA
929000,128000,7309,"SI",1,NA
929000,129000,7304,"SI",1,NA
929000,130000,7305,"SI",1,NA
929000,131000,7298,"SI",NA,NA
929000,132000,7297,"SI",1,1
929000,133000,7332,"SI",1,NA
929000,134000,7333,"SI",1,1
929000,135000,7334,"SI",0,NA
929000,136000,7335,"SI",1,1
929000,137000,7210,"SI",1,1
929000,138000,7209,"SI",1,NA
929000,139000,7198,"SI",1,NA
929000,140000,7202,"SI",1,NA
929000,141000,7200,"SI",1,NA
929000,142000,7201,"SI",1,NA
929000,143000,7190,"SI",1,NA
929000,153000,6779,"SI",NA,NA
929000,154000,6783,"SI",NA,NA
930000,125000,7300,"SI",NA,NA
930000,126000,7299,"SI",0,NA
930000,127000,7301,"SI",1,1
930000,128000,7302,"SI",1,NA
930000,129000,7303,"SI",1,NA
930000,130000,7296,"SI",NA,NA
930000,132000,7294,"SI",NA,NA
930000,133000,7295,"SI",1,NA
930000,134000,7331,"SI",1,NA
